punct_id,time_id ,airline_id,airport_id ,ratings_id,area_id,num_of_flights,num_of_flights_cancelled,avg_early_on_time_flights,avg_cancelled_flights,total_minutes_delayed,min_delays_minutes,max_delays_minutes,avg_delays_minutes
AP0001,202301,AL008,ABZ,RT02,SC01,62,0,59.68,0.00,2.52,2.52,2.52,2.52
AP0002,202301,AL071,ABZ,RT02,SC01,32,0,56.25,0.00,2.63,2.63,2.63,2.63
AP0003,202301,AL083,ABZ,RT04,SC01,370,18,27.06,4.64,16.54,16.54,16.54,16.54
AP0004,202301,AL115,ABZ,RT04,SC01,202,39,41.47,14.85,17.27,3.93,8.21,5.76
AP0005,202301,AL118,ABZ,RT03,SC01,164,0,39.18,0.00,44.04,3.97,35.38,14.68
AP0006,202301,AL194,ABZ,RT03,SC01,66,0,40.91,0.00,6.59,6.59,6.59,6.59
AP0007,202301,AL195,ABZ,RT03,SC01,164,0,38.41,0.00,7.36,7.36,7.36,7.36
AP0008,202301,AL203,ABZ,RT04,SC01,872,10,20.54,2.50,277.40,0.00,26.19,17.34
AP0009,202301,AL248,ABZ,RT04,SC01,20,0,30.00,0.00,15.95,15.95,15.95,15.95
AP0010,202301,AL251,ABZ,RT04,SC01,90,4,16.96,1.57,103.83,19.46,50.00,34.61
AP0011,202301,AL296,ABZ,RT03,SC01,16,0,18.75,0.00,12.13,12.13,12.13,12.13
AP0012,202301,AL324,ABZ,RT03,SC01,186,8,44.92,3.97,18.55,3.79,14.76,9.28
AP0013,202301,AL326,ABZ,RT03,SC01,20,0,15.00,0.00,20.75,0.00,20.75,6.92
AP0014,202301,AL008,BHD,RT02,NI01,842,15,53.00,1.10,46.21,0.79,8.58,4.62
AP0015,202301,AL071,BHD,RT03,NI01,122,0,10.82,0.00,3.88,0.00,3.88,0.78
AP0016,202301,AL083,BHD,RT03,NI01,228,4,34.91,1.72,14.21,14.21,14.21,14.21
AP0017,202301,AL115,BHD,RT03,NI01,0,0,0.00,0.00,0.00,0.00,0.00,0.00
AP0018,202301,AL118,BHD,RT02,NI01,214,0,60.37,0.00,16.61,2.38,7.65,4.15
AP0019,202301,AL124,BHD,RT04,NI01,0,3,0.00,100.00,0.00,0.00,0.00,0.00
AP0020,202301,AL125,BHD,RT03,NI01,312,0,47.15,0.00,23.95,1.24,10.63,3.42
