time_id,month,fiscal_quater,year,month_num,season,date
202301,January ,Q1,2023,1,Winter ,01/01/2023
202302,February,Q1,2023,2,Winter ,01/02/2023
202303,March,Q1,2023,3,Spring,01/03/2023
202304,April,Q2,2023,4,Spring,01/04/2023
202305,May,Q2,2023,5,Spring,01/05/2023
202306,June,Q2,2023,6,Summer,01/06/2023
202307,July,Q3,2023,7,Summer,01/07/2023
202308,August,Q3,2023,8,Summer,01/08/2023
202309,September,Q3,2023,9,Autumn,01/09/2023
202310,October,Q4,2023,10,Autumn,01/10/2023
202311,November,Q4,2023,11,Autumn,01/11/2023
202312,December,Q4,2023,12,Winter ,01/12/2023
202401,January,Q1,2024,1,Winter ,01/01/2024
202402,February,Q1,2024,2,Winter ,01/02/2024
202403,March,Q1,2024,3,Spring,01/03/2024
202404,April,Q2,2024,4,Spring,01/04/2024
202405,May,Q2,2024,5,Spring,01/05/2024
202406,June,Q2,2024,6,Summer,01/06/2024
202407,July,Q3,2024,7,Summer,01/07/2024
202408,August,Q3,2024,8,Summer,01/08/2024
202409,September,Q3,2024,9,Autumn,01/09/2024
202410,October,Q4,2024,10,Autumn,01/10/2024
202411,November,Q4,2024,11,Autumn,01/11/2024
202412,December,Q4,2024,12,Winter ,01/12/2024
