run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
17/08/2024 14:54,202406,ABERDEEN,BULGARIA,BURGAS,BH AIR,C,7,0,0,0.000000,0.000000,42.857143,42.857143,14.285714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.285714,7,100.000000,6.571429
17/08/2024 14:54,202406,ABERDEEN,LATVIA,RIGA,AIR BALTIC,S,18,0,0,0.000000,11.111111,22.222222,22.222222,11.111111,22.222222,11.111111,0.000000,0.000000,0.000000,0.000000,45.277778,16,37.500000,42.375000
17/08/2024 14:54,202406,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,16,0,0,6.250000,12.500000,31.250000,12.500000,12.500000,18.750000,0.000000,6.250000,0.000000,0.000000,0.000000,42.875000,22,66.666667,12.181818
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),LOGANAIR LTD,S,60,0,0,18.333333,50.000000,20.000000,6.666667,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.183333,58,68.965517,22.637931
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,LOGANAIR LTD,S,143,0,2,11.034483,49.655172,24.137931,6.206897,5.517241,1.379310,0.689655,0.000000,0.000000,0.000000,1.379310,7.062937,152,66.883117,18.809211
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,BRISTOL,LOGANAIR LTD,S,46,0,0,23.913043,50.000000,21.739130,2.173913,2.173913,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.586957,50,61.538462,18.100000
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,EDINBURGH,LOGANAIR LTD,S,1,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,0.000000,0.000000,50.000000,220.000000,1,0.000000,16.000000
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,S,48,0,49,1.030928,18.556701,15.463918,2.061856,6.185567,4.123711,2.061856,0.000000,0.000000,0.000000,50.515464,22.041667,53,52.380952,39.905660
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,INVERNESS,EASYJET UK LTD,S,2,0,0,0.000000,0.000000,50.000000,0.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,62.500000,0,0.000000,0.000000
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,S,134,0,6,8.571429,42.857143,27.142857,4.285714,7.142857,4.285714,1.428571,0.000000,0.000000,0.000000,4.285714,11.156716,151,64.743590,24.125828
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET UK LTD,S,122,0,0,2.459016,26.229508,22.131148,18.032787,13.934426,13.934426,0.819672,2.459016,0.000000,0.000000,0.000000,31.122951,118,56.666667,30.559322
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,S,354,0,2,2.247191,38.202247,29.494382,13.764045,10.393258,4.775281,0.561798,0.000000,0.000000,0.000000,0.561798,14.039548,254,55.018587,28.606299
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,HEATHROW,LOGANAIR LTD,S,1,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60.000000,1,0.000000,45.000000
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET UK LTD,S,64,0,0,3.125000,32.812500,32.812500,14.062500,12.500000,1.562500,3.125000,0.000000,0.000000,0.000000,0.000000,16.531250,62,60.000000,26.806452
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,CITY OF DERRY (EGLINTON),EASTERN AIRWAYS,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,100.000000,3.000000
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,S,149,0,0,18.791946,51.677852,20.805369,4.697987,3.355705,0.671141,0.000000,0.000000,0.000000,0.000000,0.000000,3.859060,172,65.909091,18.988372
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,NEWCASTLE,EASTERN AIRWAYS,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29,53.488372,14.862069
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,NEWCASTLE,LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74,74.025974,24.324324
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,NEWQUAY,EASTERN AIRWAYS,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6,50.000000,11.000000
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,NEWQUAY,LOGANAIR LTD,S,36,0,0,5.555556,44.444444,38.888889,5.555556,2.777778,2.777778,0.000000,0.000000,0.000000,0.000000,0.000000,5.138889,16,75.000000,8.687500
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,NORWICH,LOGANAIR LTD,S,90,0,0,23.333333,48.888889,18.888889,6.666667,2.222222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.233333,95,78.125000,13.442105
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,SUMBURGH,EASTERN AIRWAYS,S,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,2,100.000000,0.000000
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR LTD,S,160,0,4,3.658537,31.707317,35.975610,12.804878,2.439024,9.756098,0.609756,0.609756,0.000000,0.000000,2.439024,16.368750,171,46.327684,27.152047
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,SOUTHAMPTON,LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,22.222222,92.250000
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,EASTERN AIRWAYS,S,48,0,2,4.000000,30.000000,38.000000,8.000000,12.000000,4.000000,0.000000,0.000000,0.000000,0.000000,4.000000,12.833333,0,0.000000,0.000000
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,LOGANAIR LTD,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,100.000000,11.500000
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50,61.538462,33.000000
17/08/2024 14:54,202406,ABERDEEN,UNITED KINGDOM,WICK JOHN O GROATS,EASTERN AIRWAYS,S,73,0,27,3.000000,27.000000,23.000000,5.000000,3.000000,10.000000,2.000000,0.000000,0.000000,0.000000,27.000000,20.369863,83,66.666667,12.313253
17/08/2024 14:54,202406,ABERDEEN,DENMARK,COPENHAGEN,SAS,S,20,0,0,0.000000,55.000000,15.000000,25.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.950000,12,33.333333,25.666667
17/08/2024 14:54,202406,ABERDEEN,DENMARK,ESBJERG,LOGANAIR LTD,S,37,0,0,18.918919,37.837838,24.324324,8.108108,5.405405,5.405405,0.000000,0.000000,0.000000,0.000000,0.000000,10.972973,44,65.909091,24.477273
17/08/2024 14:54,202406,ABERDEEN,GREECE,CORFU,TUI AIRWAYS LTD,C,8,0,0,0.000000,0.000000,25.000000,0.000000,62.500000,12.500000,0.000000,0.000000,0.000000,0.000000,0.000000,38.125000,9,11.111111,86.666667
17/08/2024 14:54,202406,ABERDEEN,GREECE,RHODES,TUI AIRWAYS LTD,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9,22.222222,68.000000
17/08/2024 14:54,202406,ABERDEEN,IRISH REPUBLIC,DUBLIN,AER LINGUS,S,60,0,0,3.333333,28.333333,36.666667,3.333333,20.000000,5.000000,3.333333,0.000000,0.000000,0.000000,0.000000,20.916667,58,60.344828,16.310345
17/08/2024 14:54,202406,ABERDEEN,IRISH REPUBLIC,DUBLIN,LOGANAIR LTD,S,54,0,0,0.000000,35.185185,33.333333,11.111111,9.259259,7.407407,1.851852,1.851852,0.000000,0.000000,0.000000,21.370370,60,46.666667,35.833333
17/08/2024 14:54,202406,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM,S,20,0,2,0.000000,36.363636,45.454545,9.090909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.090909,5.200000,8,36.363636,1.125000
17/08/2024 14:54,202406,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM CITYHOPPER,S,262,0,0,0.000000,24.045802,54.961832,12.595420,8.015267,0.381679,0.000000,0.000000,0.000000,0.000000,0.000000,9.793893,228,76.315789,11.903509
17/08/2024 14:54,202406,ABERDEEN,NORWAY,BERGEN,LOGANAIR LTD,S,1,0,0,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,1,0.000000,80.000000
17/08/2024 14:54,202406,ABERDEEN,NORWAY,BERGEN,WIDEROE FLYVESELSKAP A/S,S,104,0,6,1.818182,50.000000,32.727273,4.545455,3.636364,1.818182,0.000000,0.000000,0.000000,0.000000,5.454545,5.913462,100,89.423077,2.820000
17/08/2024 14:54,202406,ABERDEEN,NORWAY,HAUGESUND,EASTERN AIRWAYS,C,1,0,0,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000
17/08/2024 14:54,202406,ABERDEEN,NORWAY,OSLO (GARDERMOEN),LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50,67.307692,27.300000
17/08/2024 14:54,202406,ABERDEEN,NORWAY,STAVANGER,SAS,S,86,0,0,4.651163,36.046512,29.069767,15.116279,6.976744,5.813953,2.325581,0.000000,0.000000,0.000000,0.000000,16.058140,86,74.444444,9.058140
17/08/2024 14:54,202406,ABERDEEN,NORWAY,STAVANGER,WIDEROE FLYVESELSKAP A/S,S,70,0,2,16.666667,56.944444,13.888889,4.166667,2.777778,0.000000,2.777778,0.000000,0.000000,0.000000,2.777778,7.585714,76,94.871795,1.092105
17/08/2024 14:54,202406,ABERDEEN,PORTUGAL(EXCLUDING MADEIRA),FARO,RYANAIR,S,18,0,0,5.555556,27.777778,44.444444,16.666667,5.555556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.444444,16,93.750000,2.812500
17/08/2024 14:54,202406,ABERDEEN,SPAIN,ALICANTE,RYANAIR,S,26,0,0,0.000000,38.461538,57.692308,0.000000,3.846154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.730769,18,66.666667,15.722222
17/08/2024 14:54,202406,ABERDEEN,SPAIN,MALAGA,RYANAIR,S,18,0,0,5.555556,16.666667,38.888889,22.222222,16.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.388889,16,75.000000,7.687500
17/08/2024 14:54,202406,ABERDEEN,SPAIN,PALMA DE MALLORCA,ALBA STAR,C,16,0,0,0.000000,12.500000,43.750000,25.000000,12.500000,6.250000,0.000000,0.000000,0.000000,0.000000,0.000000,19.187500,0,0.000000,0.000000
17/08/2024 14:54,202406,ABERDEEN,SPAIN,PALMA DE MALLORCA,TUI AIRWAYS LTD,C,10,0,0,0.000000,30.000000,30.000000,30.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.500000,24,50.000000,42.208333
17/08/2024 14:54,202406,ABERDEEN,SPAIN,REUS,TUI AIRWAYS LTD,C,8,0,0,12.500000,62.500000,25.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,8,62.500000,19.875000
17/08/2024 14:54,202406,ABERDEEN,SPAIN(CANARY ISLANDS),TENERIFE (SURREINA SOFIA),TUI AIRWAYS LTD,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7,42.857143,241.000000
17/08/2024 14:54,202406,ABERDEEN,TURKEY,DALAMAN,TUI AIRWAYS LTD,C,18,0,0,0.000000,16.666667,33.333333,33.333333,11.111111,5.555556,0.000000,0.000000,0.000000,0.000000,0.000000,17.277778,18,38.888889,41.888889
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),ROMANIA,BUCHAREST (OTOPENI),AIR NOSTRUM,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,53.000000
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,ABERDEEN,LOGANAIR LTD,S,60,0,0,13.333333,56.666667,16.666667,8.333333,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.300000,58,67.241379,21.965517
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BIRMINGHAM,AER LINGUS,S,0,0,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,4,50.000000,22.250000
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BIRMINGHAM,EMERALD AIRLINES UK LTD,S,283,0,1,3.521127,47.183099,27.816901,9.859155,7.042254,4.225352,0.000000,0.000000,0.000000,0.000000,0.352113,9.826855,211,75.829384,12.478673
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,BRISTOL,EASYJET UK LTD,S,18,0,0,0.000000,0.000000,33.333333,22.222222,33.333333,11.111111,0.000000,0.000000,0.000000,0.000000,0.000000,30.777778,34,73.529412,12.352941
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,CARDIFF WALES,EMERALD AIRLINES UK LTD,S,60,0,1,9.836066,55.737705,21.311475,8.196721,0.000000,3.278689,0.000000,0.000000,0.000000,0.000000,1.639344,5.483333,60,88.333333,10.650000
17/08/2024 14:54,202406,BELFAST CITY (GEORGE BEST),UNITED KINGDOM,DUNDEE,LOGANAIR LTD,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,75.000000,4.071429
